"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Belarus","2020","Total","January","Data tabulated by year of occurrence","Provisional figure","2020","10725",""
"Belarus","2020","Total","February","Data tabulated by year of occurrence","Provisional figure","2020","9622",""
"Belarus","2020","Total","March","Data tabulated by year of occurrence","Provisional figure","2020","10690",""
"Belarus","2020","Total","April","Data tabulated by year of occurrence","Provisional figure","2020","10886",""
"Belarus","2020","Total","May","Data tabulated by year of occurrence","Provisional figure","2020","11966",""
"Belarus","2020","Total","June","Data tabulated by year of occurrence","Provisional figure","2020","13016",""
"Belarus","2019","Total","Total","Data tabulated by year of occurrence","Provisional figure","2020","120913",""
"Belarus","2019","Total","January","Data tabulated by year of occurrence","Provisional figure","2019","11904",""
"Belarus","2019","Total","February","Data tabulated by year of occurrence","Provisional figure","2019","10115",""
"Belarus","2019","Total","March","Data tabulated by year of occurrence","Provisional figure","2019","10206",""
"Belarus","2019","Total","April","Data tabulated by year of occurrence","Provisional figure","2019","10343",""
"Belarus","2019","Total","May","Data tabulated by year of occurrence","Provisional figure","2019","10657",""
"Belarus","2019","Total","June","Data tabulated by year of occurrence","Provisional figure","2019","9263",""
"Belarus","2019","Total","July","Data tabulated by year of occurrence","Provisional figure","2019","9989",""
"Belarus","2019","Total","August","Data tabulated by year of occurrence","Provisional figure","2019","9065",""
"Belarus","2019","Total","September","Data tabulated by year of occurrence","Provisional figure","2019","9113",""
"Belarus","2019","Total","October","Data tabulated by year of occurrence","Provisional figure","2019","10519",""
"Belarus","2019","Total","November","Data tabulated by year of occurrence","Provisional figure","2019","9374",""
"Belarus","2019","Total","December","Data tabulated by year of occurrence","Provisional figure","2020","10365",""
"Belarus","2018","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2020","120053",""
"Belarus","2018","Total","January","Data tabulated by year of occurrence","Final figure, complete","2020","10659",""
"Belarus","2018","Total","February","Data tabulated by year of occurrence","Final figure, complete","2020","9391",""
"Belarus","2018","Total","March","Data tabulated by year of occurrence","Final figure, complete","2020","12080",""
"Belarus","2018","Total","April","Data tabulated by year of occurrence","Final figure, complete","2020","10825",""
"Belarus","2018","Total","May","Data tabulated by year of occurrence","Final figure, complete","2020","9940",""
"Belarus","2018","Total","June","Data tabulated by year of occurrence","Final figure, complete","2020","9036",""
"Belarus","2018","Total","July","Data tabulated by year of occurrence","Final figure, complete","2020","9525",""
"Belarus","2018","Total","August","Data tabulated by year of occurrence","Final figure, complete","2020","9215",""
"Belarus","2018","Total","September","Data tabulated by year of occurrence","Final figure, complete","2020","9249",""
"Belarus","2018","Total","October","Data tabulated by year of occurrence","Final figure, complete","2020","10256",""
"Belarus","2018","Total","November","Data tabulated by year of occurrence","Final figure, complete","2020","9545",""
"Belarus","2018","Total","December","Data tabulated by year of occurrence","Final figure, complete","2020","10326",""
"Belarus","2018","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2020","6",""
"Belarus","2017","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2019","119311",""
"Belarus","2017","Total","January","Data tabulated by year of occurrence","Final figure, complete","2019","11978",""
"Belarus","2017","Total","February","Data tabulated by year of occurrence","Final figure, complete","2019","10188",""
"Belarus","2017","Total","March","Data tabulated by year of occurrence","Final figure, complete","2019","10205",""
"Belarus","2017","Total","April","Data tabulated by year of occurrence","Final figure, complete","2019","9793",""
"Belarus","2017","Total","May","Data tabulated by year of occurrence","Final figure, complete","2019","10142",""
"Belarus","2017","Total","June","Data tabulated by year of occurrence","Final figure, complete","2019","9304",""
"Belarus","2017","Total","July","Data tabulated by year of occurrence","Final figure, complete","2019","9272",""
"Belarus","2017","Total","August","Data tabulated by year of occurrence","Final figure, complete","2019","9134",""
"Belarus","2017","Total","September","Data tabulated by year of occurrence","Final figure, complete","2019","9233",""
"Belarus","2017","Total","October","Data tabulated by year of occurrence","Final figure, complete","2019","10629",""
"Belarus","2017","Total","November","Data tabulated by year of occurrence","Final figure, complete","2019","9509",""
"Belarus","2017","Total","December","Data tabulated by year of occurrence","Final figure, complete","2019","9916",""
"Belarus","2016","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2018","119379",""
"Belarus","2016","Total","January","Data tabulated by year of occurrence","Final figure, complete","2018","11322",""
"Belarus","2016","Total","February","Data tabulated by year of occurrence","Final figure, complete","2018","9764",""
"Belarus","2016","Total","March","Data tabulated by year of occurrence","Final figure, complete","2018","10260",""
"Belarus","2016","Total","April","Data tabulated by year of occurrence","Final figure, complete","2018","9817",""
"Belarus","2016","Total","May","Data tabulated by year of occurrence","Final figure, complete","2018","10453",""
"Belarus","2016","Total","June","Data tabulated by year of occurrence","Final figure, complete","2018","9629",""
"Belarus","2016","Total","July","Data tabulated by year of occurrence","Final figure, complete","2018","9377",""
"Belarus","2016","Total","August","Data tabulated by year of occurrence","Final figure, complete","2018","9134",""
"Belarus","2016","Total","September","Data tabulated by year of occurrence","Final figure, complete","2018","9073",""
"Belarus","2016","Total","October","Data tabulated by year of occurrence","Final figure, complete","2018","10364",""
"Belarus","2016","Total","November","Data tabulated by year of occurrence","Final figure, complete","2018","9969",""
"Belarus","2016","Total","December","Data tabulated by year of occurrence","Final figure, complete","2018","10207",""
"Belarus","2016","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2018","10",""
"Belarus","2015","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2017","120026",""
"Belarus","2015","Total","January","Data tabulated by year of occurrence","Final figure, complete","2017","11366",""
"Belarus","2015","Total","February","Data tabulated by year of occurrence","Final figure, complete","2017","10005",""
"Belarus","2015","Total","March","Data tabulated by year of occurrence","Final figure, complete","2017","11148",""
"Belarus","2015","Total","April","Data tabulated by year of occurrence","Final figure, complete","2017","10410",""
"Belarus","2015","Total","May","Data tabulated by year of occurrence","Final figure, complete","2017","10210",""
"Belarus","2015","Total","June","Data tabulated by year of occurrence","Final figure, complete","2017","9399",""
"Belarus","2015","Total","July","Data tabulated by year of occurrence","Final figure, complete","2017","9342",""
"Belarus","2015","Total","August","Data tabulated by year of occurrence","Final figure, complete","2017","9678",""
"Belarus","2015","Total","September","Data tabulated by year of occurrence","Final figure, complete","2017","8964",""
"Belarus","2015","Total","October","Data tabulated by year of occurrence","Final figure, complete","2017","10202",""
"Belarus","2015","Total","November","Data tabulated by year of occurrence","Final figure, complete","2017","9286",""
